"","internal_id","date"
"1011",11052,1880-10-01
"1012",11051,1881-03-01
"1013",11050,1880-08-01
"1014",11049,1885-12-01
"1015",11048,1885-04-01
"1016",11047,1885-09-01
"1017",11046,1885-09-01
"1018",11045,1881-01-01
"1019",11044,1885-01-01
"1020",11043,1884-09-01
"1021",11042,1880-07-01
"1022",11041,1880-07-01
"1023",11040,1881-03-01
"1024",11039,1880-10-01
"1025",11038,1885-12-01
"1026",11037,1880-10-01
"1027",11036,1880-10-01
"1028",11035,1881-01-01
"1029",11034,1885-04-01
"1030",11033,1880-07-01
"1031",11032,1884-09-01
"1032",11031,1885-01-01
"1033",11030,1885-12-01
"1034",11029,1885-12-01
"1035",11028,1881-03-01
"1036",11027,1885-08-01
"1037",11026,1881-01-01
"1038",11025,1881-01-01
"1039",11024,1881-03-01
"1040",11023,1881-03-01
"1041",11022,1881-03-01
"1042",11021,1884-09-01
"1043",11020,1884-09-01
"1044",11019,1885-03-01
"1045",11018,1885-03-01
"1046",11017,1880-07-01
"1047",11016,1880-10-01
"1048",11015,1881-01-01
"1049",11014,1885-08-01
"1050",11013,1885-12-01
"1051",11012,1884-12-01
"1052",11011,1884-12-01
"1053",11010,1884-09-01
"1054",11009,1884-09-01
"1055",11008,1884-09-01
"1056",11007,1885-03-01
"1057",11006,1880-07-01
"1058",11005,1880-07-01
"1059",11004,1884-07-01
"1060",11003,1880-10-01
"1061",11002,1885-08-01
"1062",11001,1885-08-01
"1063",11000,1884-12-01
"1064",10999,1885-12-01
"1065",10998,1884-09-01
"1066",10997,1884-03-01
"1067",10996,1884-03-01
